"#user_id","#account_id",新增日期,激励pv,激励ecpm,其他pv,其他ecpm,关卡数,cpa,7日回收
845694607653744642,03ab6210ad8121bc,2021-05-22,8,80.31,14,5.36,1,3.50,5.97
845699201877938176,48c17aa6f6e74d57,2021-05-22,8,111.63,22,17.73,3,3.50,1.28
845622218721206272,6476ecd7bf317f44,2021-05-22,32,37.42,164,6.51,16,3.26,4.05
845382590654582784,6c9031f696befaf9,2021-05-21,13,81.88,32,7.44,5,3.62,1.30
845356688825004034,6ef6ed5640266318,2021-05-21,46,35.44,113,5.88,16,3.62,2.29
845356445058605056,b399bbaf783264cb,2021-05-21,1,250.00,10,34.30,1,3.62,0.59
845356685633138688,516e3a85cf4b197b,2021-05-21,20,83.24,75,7.56,7,3.62,4.69
845280810908659712,b4f5b738fb8b1482,2021-05-21,7,151.40,45,22.49,7,2.36,2.07
845260494301564928,727e24f2a623b45b,2021-05-21,81,163.23,248,11.22,44,3.62,16.00
845264922656116736,84fe04a03e4d10ca,2021-05-21,2,99.75,19,27.26,1,3.62,0.72
845698615353159687,ccc19445b5b59e8f,2021-05-22,6,60.50,19,5.79,3,3.26,1.63
845698516998426624,38650bc3ee706b5a,2021-05-22,29,80.02,125,6.68,5,3.26,3.98
845702095545044994,19e8cbcbb0e89ab6,2021-05-22,14,59.89,48,7.08,8,3.26,1.18
845696173404205056,ebc4facc802f338,2021-05-22,2,98.75,6,6.67,1,3.50,0.24
845621616542625792,6bb4dc3a03dd0055,2021-05-22,6,201.67,31,15.55,5,3.50,2.84
845621679885004809,0ec4558e0915ba54,2021-05-22,3,148.45,12,13.75,1,3.50,0.61
845626269774786564,423f212c41e3ab5b,2021-05-22,13,81.77,18,5.56,1,3.26,1.16
845625873677299712,3dee08bd3a73d5c2,2021-05-22,7,115.29,34,15.66,5,3.26,1.34
845413768258392064,577dd3f11d7d1895,2021-05-21,1,145.35,14,13.57,1,2.36,0.34
845356645281435648,1ebccd70bb3d6dbd,2021-05-21,9,140.33,30,7.20,6,3.62,1.48
845259013683552256,02f9b4905961387c,2021-05-21,8,135.25,24,8.83,4,3.62,1.29
845260321284829184,d92f2c76d13d8ff6,2021-05-21,20,95.08,67,5.84,8,2.36,2.29
845735567884431365,c2f437df3946512f,2021-05-22,8,130.74,23,10.96,2,3.26,1.30
845699000453181445,d5f39889e59e7609,2021-05-22,11,89.82,36,6.67,7,4.92,2.10
845697250901626884,7aefec961a504677,2021-05-22,28,7.32,72,5.90,7,3.26,2.64
